NOME;INSTITUICAO_ENSINO_ALUNO_2020;IDADE_ALUNO_2020;ANOS_PM_2020;FASE_TURMA_2020;PONTO_VIRADA_2020;INDE_2020;INDE_CONCEITO_2020;PEDRA_2020;DESTAQUE_IEG_2020;DESTAQUE_IDA_2020;DESTAQUE_IPV_2020;IAA_2020;IEG_2020;IPS_2020;IDA_2020;IPP_2020;IPV_2020;IAN_2020
ALUNO-75;Rede Decisão/União;17;1;7B;Sim;8.345.001.166.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;791.667;9.1;7.5;7.333.333.333.333.330;7.5;88.333.375;10
ALUNO-76;Escola Pública;9;2;1C;Não;6.385.835.333.333.330;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;10.000.020.000.000.000;7.2;7.5;0;7.291.666.666.666.660;7.333.333.333.333.330;10
ALUNO-77;Escola Pública;13;1;2C;Não;5.934.724.000.000.000;D;Quartzo;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;8;7.5;0;7.291.666.666.666.660;7.277.776.666.666.660;5
ALUNO-78;Escola Pública;16;1;6B;Não;7.131.667;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;7.5;8.7;5.625;3;8.125;8.333.335;10
ALUNO-79;Escola Pública;11;1;1R;Não;8.238.891.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.500.020.000.000.000;9.5;7.5;7.5;9.166.666.666.666.660;8.611.113.333.333.330;5
ALUNO-80;Rede Decisão/União;11;1;3B;Não;7.963.542.166.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;624.999;9;7.5;6.333.333.333.333.330;796.875;86.250.075;10
ALUNO-81;Rede Decisão/União;13;3;4F;Sim;8.167.711.833.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;10.000.020.000.000.000;9;7.5;4.666.666.666.666.660;859.375;9.125.007.499.999.990;10
ALUNO-82;Escola Pública;10;1;1M;Não;58.845.849.999.999.900;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.500.020.000.000.000;7.1;7.5;0;78.125;7.916.665;5
ALUNO-83;Rede Decisão/União;12;2;2J;Não;71.105.566.666.666.600;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;79.166.799.999.999.900;8.9;7.5;5;6.666.666.666.666.660;811.111;5
ALUNO-84;Escola Pública;10;1;1H;Não;7.177.224.000.000.000;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.500.020.000.000.000;6.4;7.5;6.75;7.916.666.666.666.660;7.777.776.666.666.660;5
ALUNO-85;Escola Pública;14;2;3E;Não;6.064.722;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;916.668;5.9;3.75;5;7.708.333.333.333.330;6.611.103.333.333.330;5
ALUNO-86;Escola Pública;10;2;1H;Não;4.478.057.333.333.330;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.000.020.000.000.000;2.3;5;0;7.291.666.666.666.660;7.444.443.333.333.330;5
ALUNO-87;EstÃƒÂ¡cio;18;4;8A;;8.891.667;B;Ametista;Seu destaque em 2020: O seu bom engajamento nas avaliações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;791.667;10;7.5;9;0;0;10
ALUNO-88;Escola Pública;10;2;1B;Não;7.953.752.000.000.000;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.500.020.000.000.000;8.8;7.5;8.5;84.375;7.75;5
ALUNO-89;Escola Pública;12;3;1G;Não;6.440.002;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;750.002;8.2;5;6.25;2.5;7.75;5
ALUNO-90;Escola Pública;10;1;1D;Não;7.708.752;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.500.020.000.000.000;8.7;7.5;7.5;71.875;7.75;5
ALUNO-91;Escola Pública;11;1;0G;Não;8.431.252;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;10;7.5;10;78.125;7.5;5
ALUNO-92;Escola Pública;11;1;1J;Não;8.082.224;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;10.000.020.000.000.000;8.8;7.5;8.5;7.5;811.111;5
ALUNO-93;Escola Pública;8;0;0E;Não;7.800.001.000.000.000;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.000.020.000.000.000;10;5;10;2.5;5.749.995;10
ALUNO-94;Escola Pública;16;4;5G;Não;37.383.341.666.666.600;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;791.667;0.9;3.125;28.333.333.333.333.300;5.625;41.250.025;5
ALUNO-95;Einstein;15;3;5X;;7.921.668;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;916.668;10;5.625;7.2;0;0;10
ALUNO-96;Escola Pública;11;2;0E;Não;7.862.503;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;10;8.125;10;2.5;7.000.005;5
ALUNO-97;Escola Pública;9;2;1H;Não;8.257.224;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;10.000.020.000.000.000;8.3;7.5;7.5;7.916.666.666.666.660;7.777.776.666.666.660;10
