NOME;INSTITUICAO_ENSINO_ALUNO_2020;IDADE_ALUNO_2020;ANOS_PM_2020;FASE_TURMA_2020;PONTO_VIRADA_2020;INDE_2020;INDE_CONCEITO_2020;PEDRA_2020;DESTAQUE_IEG_2020;DESTAQUE_IDA_2020;DESTAQUE_IPV_2020;IAA_2020;IEG_2020;IPS_2020;IDA_2020;IPP_2020;IPV_2020;IAN_2020
ALUNO-177;Escola Pública;14;0;3M;Não;6.858.541.000.000.000;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;7.5;4.1;7.5;9;796.875;720.833;5
ALUNO-178;Rede Decisão/União;17;3;7B;Não;79.835.415;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;791.667;8.6;7.5;7;796.875;76.249.975;10
ALUNO-179;Escola Pública;10;3;1F;Não;7.680.002;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.000.020.000.000.000;7.9;7.5;8.5;7.5;8;5
ALUNO-180;Escola Pública;12;1;1H;Não;8.258.057.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.500.020.000.000.000;9.2;7.5;10;7.291.666.666.666.660;7.444.443.333.333.330;5
ALUNO-181;Escola Pública;8;0;0B;Não;7.470.837;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;8.500.020.000.000.000;10;4.375;9.5;2.5;5.166.675;10
ALUNO-182;Rede Decisão/União;14;4;5B;Sim;8.952.223.333.333.330;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;833.334;9.9;10;7;9.166.666.666.666.660;9.111.113.333.333.330;10
ALUNO-183;Escola Pública;17;2;7A;Não;59.127.081.666.666.600;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;833.334;2.1;7.5;4.333.333.333.333.330;734.375;65.416.625;10
ALUNO-184;Escola Pública;14;2;3C;Não;8.137.224;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;916.668;9.7;7.5;7.333.333.333.333.330;8.749.999.999.999.990;8.444.446.666.666.660;5
ALUNO-185;Escola Pública;14;2;3C;Não;7.595.277.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;833.334;9.4;7.5;7;8.541.666.666.666.660;6.888.883.333.333.330;5
ALUNO-186;FIAP;19;2;8A;;9.096.668;A;Topázio;Seu destaque em 2020: O seu bom engajamento nas avaliações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;916.668;10;7.5;9.2;0;0;10
ALUNO-187;Rede Decisão/União;11;4;2B;Não;8.133.752.000.000.000;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.000.020.000.000.000;9.2;5.625;8;53.125;8.5;10
ALUNO-188;Escola Pública;16;0;3J;Sim;7.582.500.666.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;7.5;8.1;7.5;8;8.125;9.000.003.333.333.330;2.5
ALUNO-189;Escola Pública;16;1;6A;Não;4.348.541;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;0;3.8;5;0;671.875;708.333;10
ALUNO-190;Escola Pública;8;1;0F;Não;8.5;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;8.500.020.000.000.000;10;7.5;10;7.5;574.999;10
ALUNO-191;Escola Pública;8;1;1A;Não;8.418.752.000.000.000;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.000.020.000.000.000;8;7.5;9.5;71.875;7.75;10
ALUNO-192;Escola Pública;9;1;0D;Não;779.167;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.500.020.000.000.000;10;6.25;9.5;2.5;783.334;5
ALUNO-193;Escola Pública;10;0;0C;Sim;9.200.004;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.500.020.000.000.000;10;7.5;10;10;1.000.001;5
ALUNO-194;Escola Pública;12;1;2G;Não;7.165.556.666.666.660;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;10.000.020.000.000.000;8.3;6.25;6;7.916.666.666.666.660;6.944.439.999.999.990;5
ALUNO-195;Escola Pública;15;4;4F;Não;4.656.042;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;916.668;3.4;4.375;0;796.875;6.624.995;5
ALUNO-196;Escola Pública;11;1;1N;Não;6.407.502.000.000.000;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;750.002;8.1;5;4;7.708.333.333.333.330;7.333.333.333.333.330;5
ALUNO-197;Escola Pública;10;1;2F;Não;8.175.279.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;8.500.020.000.000.000;9.3;7.5;7;7.708.333.333.333.330;7.722.219.999.999.990;10
ALUNO-198;Escola Pública;9;1;1F;Não;5.668.335;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.000.020.000.000.000;4.3;5.625;0;8.125;7.666.665;10
ALUNO-199;Escola Pública;9;1;1B;Não;7.813.335;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.000.020.000.000.000;9.9;4.375;7.5;5.625;7.166.665;10
ALUNO-200;Rede Decisão/União;15;3;5G;Sim;8.396.044.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;958.335;9.6;5;6.666.666.666.666.660;859.375;9.125.005.000.000.000;10
ALUNO-201;Escola Pública;13;4;3F;Não;8.325.834.666.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;916.668;9.4;7.5;6.666.666.666.666.660;8.125;8.166.666.666.666.660;10
ALUNO-202;UNISA;18;1;8A;;8.695.001.000.000.000;B;Ametista;Seu destaque em 2020: O seu bom engajamento nas avaliações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;875.001;10;7.5;8.3;0;0;10
ALUNO-203;Escola Pública;13;1;3G;Sim;8.613.335;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;875.001;9.9;7.5;6.5;8.75;9.166.669.999.999.990;10
ALUNO-204;Rede Decisão/União;17;3;7B;Não;7.379.792.666.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;791.667;7.8;5;7.333.333.333.333.330;578.125;741.667;10
ALUNO-205;Escola Pública;12;3;2E;Não;6.816.668.000.000.000;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;8;5;6;7.5;683.333;5
ALUNO-206;Escola Pública;14;3;3M;Não;6.216.666.833.333.330;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;875.001;5;5.625;5.666.666.666.666.660;8.125;66.666.625;5
ALUNO-207;Rede Decisão/União;10;4;2B;Sim;9.335.420.000.000.000;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.000.020.000.000.000;9.5;7.5;9.5;96.875;958.334;10
ALUNO-208;Rede Decisão/União;11;3;3G;Não;7.412.223.000.000.000;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.583.350.000.000.000;6.7;4.375;6;8.541.666.666.666.660;8.111.106.666.666.660;10
ALUNO-209;Rede Decisão/União;15;4;5G;Não;79.691.670.000.000.000;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;791.667;9.7;3.75;7;8.125;8.25;10
ALUNO-210;Escola Pública;14;2;3H;Não;56.825;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;10.000.020.000.000.000;6.6;5;4.166.666.666.666.660;5.625;4.833.323.333.333.330;5
ALUNO-211;FIAP;19;4;8A;;53.950.000.000.000.000;D;Quartzo;Ponto a melhorar em 2021: Melhorar o seu engajamento nas avaliações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;0;0;4.375;8.8;0;0;10
ALUNO-212;Escola Pública;9;1;0D;Não;6.443.336;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.500.020.000.000.000;9.8;2.5;8.5;2.5;416.667;5
ALUNO-213;FIAP;18;1;8A;;8.848.334.000.000.000;B;Ametista;Seu destaque em 2020: O seu bom engajamento nas avaliações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;833.334;10;6.875;9.1;0;0;10
ALUNO-214;Escola Pública;10;1;0E;Não;7.918.752;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.500.020.000.000.000;10;6.875;7.5;78.125;7.5;5
ALUNO-215;Escola Pública;14;0;3R;Não;7.338.057;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;875.001;8.6;7.5;6;7.708.333.333.333.330;7.611.113.333.333.330;5
ALUNO-216;Escola Pública;13;2;2R;Não;6.289.445.333.333.330;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;5.6;4.375;6;6.875;7.222.216.666.666.660;5
ALUNO-217;Escola Pública;12;2;2C;Não;70.419.453.333.333.300;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.000.020.000.000.000;8.8;7.5;5.5;6.875;7.222.216.666.666.660;5
ALUNO-218;Escola Pública;16;0;5A;Sim;8.404.168.666.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;833.334;9;7.5;9.333.333.333.333.330;8.541.666.666.666.660;9.000.006.666.666.660;5
ALUNO-219;Escola Pública;15;1;5A;Não;7.425.278.666.666.660;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;833.334;5.3;7.5;7.666.666.666.666.660;7.708.333.333.333.330;738.889;10
ALUNO-220;Escola Pública;11;3;2F;Não;7.212.501.333.333.330;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.000.020.000.000.000;7.5;6.875;4.25;7.083.333.333.333.330;7.833.329.999.999.990;10
ALUNO-221;Rede Decisão/União;15;4;4F;Não;5.934.999.666.666.660;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;7.5;5.3;5;6.333.333.333.333.330;6.25;6.166.665;5
ALUNO-222;Escola Pública;15;1;4A;Não;7.454.722;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;7.5;9.1;7.5;8;8.125;611.111;5
ALUNO-223;Rede Decisão/União;12;4;3B;Não;7.687.500.833.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;916.668;9.5;4.375;6.666.666.666.666.660;7.5;67.499.975;10
ALUNO-224;Escola Pública;12;0;2P;Não;4.233.888;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;0;4.6;6.875;0;7.708.333.333.333.330;6.777.773.333.333.330;5
ALUNO-225;Escola Pública;10;1;1C;Não;4.864.168.666.666.660;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;4.3;3.75;0;7.291.666.666.666.660;7.5;5
ALUNO-226;Escola Pública;13;1;3L;Não;8.410.210.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;958.335;9.9;7.5;6.166.666.666.666.660;796.875;8.458.335;10
ALUNO-227;Rede Decisão/União;13;4;3L;Não;8.318.544.833.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;10.000.020.000.000.000;9.9;4.375;6.666.666.666.666.660;859.375;85.416.725;10
ALUNO-228;Escola Pública;10;2;1D;Não;7.978.752.000.000.000;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;8.8;7.5;9.5;71.875;7.25;5
ALUNO-229;Rede Decisão/União;13;2;3L;Sim;8.289.376.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;583.333;9.9;5;7.666.666.666.666.660;859.375;9.166.675.000.000.000;10
ALUNO-230;Escola Pública;8;0;0C;Não;9.316.669.000.000.000;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.000.020.000.000.000;10;10;10;7.5;8.333.335;10
ALUNO-231;Escola Pública;14;1;2P;Não;5.773.612;D;Quartzo;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;69.166.799.999.999.900;8;7.5;0;8.541.666.666.666.660;6.888.886.666.666.660;5
ALUNO-232;Escola Pública;13;2;2G;Não;7.780.279.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;9.7;6.25;7;7.708.333.333.333.330;822.222;5
ALUNO-233;Escola Pública;15;2;3A;Não;7.137.293.833.333.330;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;958.335;5.9;7.5;7.666.666.666.666.660;765.625;72.500.025;5
ALUNO-234;Escola Pública;12;3;1G;Não;7.912.085;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;8.8;7.5;9;71.875;7.416.665;5
ALUNO-235;Escola Pública;13;1;3H;Não;7.131.665.666.666.660;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;875.001;6.2;7.5;7.333.333.333.333.330;6.666.666.666.666.660;5.666.656.666.666.660;10
ALUNO-236;Escola Pública;10;0;1K;Não;6.645.835.333.333.330;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.000.020.000.000.000;6.5;7.5;5;7.291.666.666.666.660;7.833.333.333.333.330;5
ALUNO-237;Escola Pública;9;0;0F;Não;6.814.172.000.000.000;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.500.020.000.000.000;9.8;6.875;8.5;2.5;38.333.499.999.999.900;5
ALUNO-238;Escola Pública;16;0;4B;Não;7.312.779.666.666.660;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;750.001;8.8;7.5;5.333.333.333.333.330;8.749.999.999.999.990;8.055.560.000.000.000;5
ALUNO-239;Escola Pública;9;2;1C;Não;7.808.335.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;10.000.020.000.000.000;8.5;7.5;5.5;7.916.666.666.666.660;7.333.333.333.333.330;10
ALUNO-240;Escola Pública;15;2;4L;Não;4.931.111.666.666.660;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;958.335;3.6;7.5;0;7.916.666.666.666.660;6.055.549.999.999.990;5
ALUNO-241;Escola Pública;11;1;2J;Não;7.599.446;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.500.020.000.000.000;7.4;6.25;8.5;5;672.222;10
ALUNO-242;Escola Pública;9;0;0F;Não;8.216.668;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.500.020.000.000.000;10;7.5;9.5;7.5;733.333;5
ALUNO-243;Escola Pública;12;1;2P;Não;7.670.558.000.000.000;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.500.020.000.000.000;9.7;7.5;6;8.749.999.999.999.990;7.777.780.000.000.000;5
ALUNO-244;Escola Pública;11;0;1M;Não;6.662.085.000.000.000;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;9.000.020.000.000.000;6.3;7.5;4.75;71.875;7.916.665;5
ALUNO-245;Escola Pública;10;1;0G;Não;7;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.500.020.000.000.000;10;5;9.5;2.5;499.999;5
ALUNO-246;Escola Pública;11;1;2R;Não;7.510.557.333.333.330;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.500.020.000.000.000;8.9;9.375;1.5;8.541.666.666.666.660;8.444.443.333.333.330;10
ALUNO-247;Escola Pública;9;1;1N;Não;8.745.557.333.333.330;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.500.020.000.000.000;9.2;7.5;10;7.5;7.277.776.666.666.660;10
ALUNO-248;Escola Pública;15;1;4E;Não;6.957.083.833.333.330;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;791.667;6.4;7.5;6.666.666.666.666.660;84.375;72.916.675;5
ALUNO-249;Escola Pública;9;2;1E;Não;7.322.224;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.000.020.000.000.000;8;6.25;4.5;7.083.333.333.333.330;7.944.443.333.333.330;10
ALUNO-250;Escola Pública;10;1;1G;Não;5.682.502;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.500.020.000.000.000;6.1;7.5;0;8.125;7.75;5
ALUNO-251;Escola Pública;9;1;2F;Sim;8.586.392.000.000.000;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;9.500.020.000.000.000;9.3;7.5;7;7.708.333.333.333.330;9.277.783.333.333.330;10
ALUNO-252;Escola Pública;7;0;1J;Não;59.116.686.666.666.600;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integrações aos Princípios Passos Mágicos;8.000.020.000.000.000;7.1;5.625;0;5.625;7.833.333.333.333.330;10
ALUNO-253;Escola Pública;10;0;1C;Não;5.535.835.333.333.330;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;8.500.020.000.000.000;6.2;7.5;0;7.291.666.666.666.660;7.333.333.333.333.330;5
ALUNO-254;Escola Pública;17;1;5L;Não;5.938.332.666.666.660;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos;666.666;6.9;3.125;36.666.666.666.666.600;8.125;7.666.666.666.666.660;5
