NOME;FASE_2021;TURMA_2021;INSTITUICAO_ENSINO_ALUNO_2021;SINALIZADOR_INGRESSANTE_2021;PEDRA_2021;INDE_2021;IAA_2021;IEG_2021;IPS_2021;IDA_2021;IPP_2021;REC_EQUIPE_1_2021;REC_EQUIPE_2_2021;REC_EQUIPE_3_2021;REC_EQUIPE_4_2021;PONTO_VIRADA_2021;IPV_2021;IAN_2021;NIVEL_IDEAL_2021;DEFASAGEM_2021
ALUNO-770;0.0;J;Escola Pública;Ingressante;Ágata;6.802;10.0;6.7;7.5;4.0;7.2;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.0;10.0;ALFA  (2o e 3o ano);0.0
ALUNO-771;;;;;;;;;;;;;;;;;;;;
ALUNO-772;;;;;;;;;;;;;;;;;;;;
ALUNO-773;;;;;;;;;;;;;;;;;;;;
ALUNO-774;0.0;P;Escola Pública;Veterano;Topázio;8.471;8.5;10.0;7.5;6.9;8.1;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;Não;8.4;10.0;ALFA  (2o e 3o ano);0.0
ALUNO-775;1.0;A;Escola Pública;Ingressante;Ágata;6.056;8.5;6.3;7.5;4.0;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5.8;5.0;Nível 2 (5o e 6o ano);-1.0
ALUNO-776;;;;;;;;;;;;;;;;;;;;
ALUNO-777;;;;;;;;;;;;;;;;;;;;
ALUNO-778;;;;;;;;;;;;;;;;;;;;
ALUNO-779;1.0;F;Escola Pública;Ingressante;Ametista;8.051;9.0;9.2;7.5;5.4;7.7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.6;10.0;Nível 1 (4o ano);0.0
ALUNO-780;;;;;;;;;;;;;;;;;;;;
ALUNO-781;;;;;;;;;;;;;;;;;;;;
ALUNO-782;3.0;B;Escola Pública;Ingressante;Ágata;6.388;7.5;5.8;7.5;4.1;7.3;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;5.8;10.0;Nível 3 (7o e 8o ano);0.0
ALUNO-783;7.0;A;Rede Decisão;Veterano;Ametista;8.219;9.6;8.9;8.1;7.6;8.1;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Sim;9.2;5.0;Nível 8 (UniversitÃ¡rios);-1.0
